time,X,Y,Z,E1,E2,S_LP,S_RS,S_WS,R_LP,R_RS,R_WS,MPT,MPA,MPW,LOAD,CONTACT,BEAD_NUMBER,LASER_ON
02_24_14_36_55_834,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41193,0.37068,6,False
02_24_14_36_55_924,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.39649,6,False
02_24_14_36_55_932,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.39649,6,False
02_24_14_36_55_944,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.29455,6,False
02_24_14_36_55_961,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.29455,6,False
02_24_14_36_55_971,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.39391,6,False
02_24_14_36_55_985,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.77523,0.0,0.0,2.41451,0.38229,6,False
02_24_14_36_55_995,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.42226,0.33197,6,False
02_24_14_36_56_003,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.41068,6,False
02_24_14_36_56_012,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41193,0.40294,6,False
02_24_14_36_56_020,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41322,0.36681,6,False
02_24_14_36_56_041,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4171,0.43648,6,False
02_24_14_36_56_049,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41322,0.41455,6,False
02_24_14_36_56_067,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.37713,6,False
02_24_14_36_56_078,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.37713,6,False
02_24_14_36_56_087,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41839,0.44423,6,False
