time,X,Y,Z,E1,E2,S_LP,S_RS,S_WS,R_LP,R_RS,R_WS,MPT,MPA,MPW,LOAD,CONTACT,BEAD_NUMBER,LASER_ON
02_24_15_52_57_687,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.45322,0.44036,6,False
02_24_15_52_57_761,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44806,0.42487,6,False
02_24_15_52_57_787,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.44548,0.36036,6,False
02_24_15_52_57_803,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44806,0.36036,6,False
02_24_15_52_57_905,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44806,0.39907,6,False
02_24_15_52_57_926,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.45322,0.41584,6,False
02_24_15_52_57_938,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.45322,0.43132,6,False
02_24_15_52_57_958,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.45322,0.43132,6,False
02_24_15_52_57_966,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44677,0.36165,6,False
02_24_15_52_57_974,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.44806,0.41455,6,False
02_24_15_52_57_982,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.77523,0.0,0.0,2.44677,0.43261,6,False
02_24_15_52_57_990,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.77523,0.0,0.0,2.44677,0.43261,6,False
02_24_15_52_58_008,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.45064,0.40552,6,False
02_24_15_52_58_017,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.44935,0.421,6,False
02_24_15_52_58_025,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.44806,0.34874,6,False
02_24_15_52_58_043,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.44806,0.36036,6,False
02_24_15_52_58_051,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44935,0.41326,6,False
02_24_15_52_58_062,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44935,0.41326,6,False
02_24_15_52_58_069,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.45064,0.41842,6,False
02_24_15_52_58_189,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44806,0.40552,6,False
02_24_15_52_58_198,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44419,0.35003,6,False
02_24_15_52_58_304,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44677,0.40939,6,False
02_24_15_52_58_317,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44677,0.40939,6,False
02_24_15_52_58_335,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.45193,0.47132,6,False
02_24_15_52_58_348,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.45193,0.47132,6,False
02_24_15_52_58_355,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.44806,0.35003,6,False
02_24_15_52_58_380,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.45451,0.421,6,False
02_24_15_52_58_388,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.45064,0.44552,6,False
02_24_15_52_58_396,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44677,0.37068,6,False
02_24_15_52_58_404,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44935,0.42229,6,False
02_24_15_52_58_421,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44548,0.33842,6,False
02_24_15_52_58_429,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44548,0.33842,6,False
02_24_15_52_58_450,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44677,0.42874,6,False
02_24_15_52_58_458,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44806,0.41068,6,False
02_24_15_52_58_470,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.42742,0.40939,6,False
02_24_15_52_58_470,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.42742,0.40939,6,False
02_24_15_52_58_490,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44032,0.3552,6,False
02_24_15_52_58_522,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44677,0.3552,6,False
02_24_15_52_58_531,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.43903,0.41971,6,False
02_24_15_52_58_531,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.25911,0.0,0.0,2.43903,0.41971,6,False
02_24_15_52_58_551,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.44806,0.35778,6,False
02_24_15_52_58_559,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.45193,0.41197,6,False
